transaction_id,customer_id,timestamp,amount,currency,country,merchant_category,channel,device_id,is_fraud
T0000001,C00045,2025-11-14 17:12:27.227951,7.1,USD,US,ATM_WITHDRAWAL,ONLINE,D0038,0
T0000002,C00264,2025-12-02 20:48:24.227951,22.82,USD,CN,TRAVEL,POS,D0180,0
T0000003,C00251,2025-10-09 10:23:10.227951,43.72,USD,CA,ONLINE_SUBSCRIPTION,ATM,D0177,0
T0000004,C00226,2025-09-26 12:17:53.227951,29.04,USD,US,GROCERIES,ATM,D0253,0
T0000005,C00083,2025-11-13 06:55:55.227951,10.17,USD,IN,UTILITY_BILL,ATM,D0311,0
T0000006,C00380,2025-09-23 13:52:55.227951,34.2,USD,MX,GROCERIES,POS,D0273,0
T0000007,C00462,2025-11-12 02:08:55.227951,13.38,USD,US,RESTAURANT,POS,D0188,0
T0000008,C00398,2025-09-23 02:43:14.227951,17.92,USD,GB,CLOTHING,POS,D0268,0
T0000009,C00471,2025-10-15 09:42:38.227951,34.58,USD,CN,ATM_WITHDRAWAL,ATM,D0155,0
T0000010,C00450,2025-10-02 00:15:04.227951,48.01,USD,MX,GROCERIES,POS,D0003,0
T0000011,C00399,2025-11-15 21:13:08.227951,37.76,USD,GB,CRYPTO_EXCHANGE,ATM,D0184,0
T0000012,C00253,2025-10-27 05:56:36.227951,15.25,USD,IN,GROCERIES,ONLINE,D0188,0
T0000013,C00428,2025-10-26 22:22:20.227951,14.37,USD,US,ONLINE_SUBSCRIPTION,ONLINE,D0224,0
T0000014,C00398,2025-10-03 09:59:40.227951,14.17,USD,US,ELECTRONICS,POS,D0164,0
T0000015,C00497,2025-11-21 20:48:47.227951,6.47,USD,DE,GROCERIES,POS,D0118,0
T0000016,C00218,2025-11-04 15:12:07.227951,13.1,USD,US,TRAVEL,ONLINE,D0163,0
T0000017,C00209,2025-11-18 07:44:47.227951,10.36,USD,MX,GROCERIES,POS,D0289,0
T0000018,C00349,2025-10-17 15:07:02.227951,12.56,USD,CA,CLOTHING,POS,D0278,0
T0000019,C00248,2025-10-16 05:09:36.227951,18.2,USD,GB,RESTAURANT,ONLINE,D0145,0
T0000020,C00480,2025-09-13 22:47:10.227951,5.35,USD,CA,UTILITY_BILL,MOBILE,D0280,0
T0000021,C00229,2025-09-29 23:44:29.227951,73.64,USD,MX,TRAVEL,ONLINE,D0180,0
T0000022,C00369,2025-09-30 13:30:15.227951,7.77,USD,IN,UTILITY_BILL,ONLINE,D0081,0
T0000023,C00361,2025-10-03 14:19:43.227951,25.48,USD,US,GROCERIES,ATM,D0303,0
T0000024,C00247,2025-11-09 19:30:08.227951,25.35,USD,US,ONLINE_SUBSCRIPTION,ONLINE,D0260,0
T0000025,C00315,2025-09-13 15:51:44.227951,24.03,USD,US,GROCERIES,ONLINE,D0132,0
T0000026,C00331,2025-09-19 01:38:05.227951,86.77,USD,US,ONLINE_SUBSCRIPTION,POS,D0370,0
T0000027,C00495,2025-10-28 08:33:16.227951,5.07,USD,US,ONLINE_SUBSCRIPTION,POS,D0383,0
T0000028,C00210,2025-10-19 11:14:16.227951,27.48,USD,IN,GROCERIES,ONLINE,D0196,0
T0000029,C00221,2025-11-29 11:10:03.227951,7.47,USD,DE,CLOTHING,POS,D0133,0
T0000030,C00273,2025-10-22 22:06:53.227951,10.89,USD,US,GROCERIES,ATM,D0358,0
T0000031,C00272,2025-09-18 16:24:01.227951,7.13,USD,US,GROCERIES,ONLINE,D0113,0
T0000032,C00122,2025-11-04 09:48:55.227951,117.68,USD,GB,TRAVEL,POS,D0366,0
T0000033,C00488,2025-09-26 18:43:28.227951,7.65,USD,US,CLOTHING,POS,D0332,0
T0000034,C00231,2025-11-17 19:17:08.227951,8.14,USD,GB,UTILITY_BILL,POS,D0206,0
T0000035,C00453,2025-09-29 02:20:49.227951,10.44,USD,US,GROCERIES,POS,D0174,0
T0000036,C00485,2025-12-04 08:59:37.227951,23.87,USD,US,TRAVEL,ATM,D0357,0
T0000037,C00058,2025-10-22 18:11:47.227951,74.14,USD,US,TRAVEL,ONLINE,D0150,0
