transaction_id,customer_id,timestamp,amount,currency,device_id,is_fraud,tx_date,tx_hour,tx_dayofweek,tx_is_weekend,amount_log,cust_day_txn_count,cust_day_total_amount,cust_total_txn_count,cust_avg_amount,country__CN,country__DE,country__GB,country__IN,country__MX,country__US,merchant_category__CLOTHING,merchant_category__CRYPTO_EXCHANGE,merchant_category__ELECTRONICS,merchant_category__GAMBLING,merchant_category__GROCERIES,merchant_category__ONLINE_SUBSCRIPTION,merchant_category__RESTAURANT,merchant_category__TRAVEL,merchant_category__UTILITY_BILL,channel__MOBILE,channel__ONLINE,channel__POS,model_anomaly_score,model_anomaly_flag,country_label,merchant_category_label,channel_label,rule_R1_flag,rule_R2_flag,rule_R3_flag,rule_R4_flag
T0002021,C00001,2025-09-15 18:12:07.227951,38.27,USD,D0357,0,2025-09-15,18,0,0,3.6704608685899194,1,38.27,22,57.07409090909091,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.0344834163681329,0,CN,UTILITY_BILL,OTHER,0,0,0,0
T0009826,C00001,2025-09-17 01:44:42.227951,118.69,USD,D0024,0,2025-09-17,1,2,0,4.784905066885279,1,118.69,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,-0.0534513622836372,0,US,GROCERIES,POS,0,0,0,0
T0013181,C00001,2025-09-18 04:54:56.227951,18.6,USD,D0352,0,2025-09-18,4,3,0,2.975529566236472,1,18.6,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,-0.1267414198187341,0,US,OTHER,POS,0,0,0,0
T0003352,C00001,2025-09-28 02:41:22.227951,16.18,USD,D0321,0,2025-09-28,2,6,1,2.8437459165561094,2,466.98,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.0037620146417256,0,US,GROCERIES,OTHER,0,0,0,0
T0005645,C00001,2025-09-28 06:18:48.227951,450.8,USD,D0255,1,2025-09-28,6,6,1,6.113239604033903,2,466.98,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.006434538333456,1,US,OTHER,POS,0,0,0,0
T0012489,C00001,2025-10-09 14:35:44.227951,53.25,USD,D0308,0,2025-10-09,14,3,0,3.993602992420569,1,53.25,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,-0.070789403446862,0,US,UTILITY_BILL,OTHER,0,0,0,0
T0006614,C00001,2025-10-12 18:07:46.227951,2.72,USD,D0239,0,2025-10-12,18,6,1,1.3137236682850553,1,2.72,22,57.07409090909091,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-0.0087834065070756,0,IN,CRYPTO_EXCHANGE,POS,0,0,0,0
T0006315,C00001,2025-10-13 16:58:44.227951,77.13,USD,D0068,1,2025-10-13,16,0,0,4.358374106008653,1,77.13,22,57.07409090909091,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-0.0019930012742588,0,GB,GAMBLING,ONLINE,0,1,0,0
T0000506,C00001,2025-10-15 09:21:33.227951,79.66,USD,D0150,0,2025-10-15,9,2,0,4.390242789445222,1,79.66,22,57.07409090909091,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,-0.0341287600802293,0,CN,RESTAURANT,ONLINE,0,0,0,0
T0004102,C00001,2025-10-20 14:52:46.227951,55.82,USD,D0273,0,2025-10-20,14,0,0,4.039888376426042,1,55.82,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,-0.0573199543917384,0,US,ONLINE_SUBSCRIPTION,ONLINE,0,0,0,0
T0006288,C00001,2025-10-21 22:58:00.227951,18.15,USD,D0274,0,2025-10-21,22,1,0,2.952302715626655,1,18.15,22,57.07409090909091,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,-0.0721506345715817,0,US,CLOTHING,POS,0,0,0,0
T0002187,C00001,2025-10-24 22:25:46.227951,25.86,USD,D0351,0,2025-10-24,22,4,0,3.290638191095092,1,25.86,22,57.07409090909091,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.0886712662462806,0,IN,OTHER,POS,0,0,0,0
T0005529,C00001,2025-11-02 15:10:53.227951,15.59,USD,D0213,0,2025-11-02,15,6,1,2.808800104202353,2,24.51,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,-0.0641170562991633,0,US,RESTAURANT,OTHER,0,0,0,0
T0009652,C00001,2025-11-02 20:43:21.227951,8.92,USD,D0072,0,2025-11-02,20,6,1,2.294552921296781,2,24.51,22,57.07409090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.0461091654230056,0,OTHER,UTILITY_BILL,ONLINE,0,0,0,0
T0004982,C00001,2025-11-06 04:11:10.227951,52.8,USD,D0193,0,2025-11-06,4,3,0,3.9852734671677386,1,52.8,22,57.07409090909091,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-0.0461208541245581,0,CN,GROCERIES,ONLINE,0,0,0,0
T0009398,C00001,2025-11-11 01:16:13.227951,123.03,USD,D0388,0,2025-11-11,1,1,0,4.820523471827238,1,123.03,22,57.07409090909091,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,-0.0395829896189159,0,US,CLOTHING,POS,0,0,0,0
T0007163,C00001,2025-11-12 13:19:15.227951,15.55,USD,D0369,0,2025-11-12,13,2,0,2.806386101823072,1,15.55,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,-0.0979056384906089,0,US,GROCERIES,ONLINE,0,0,0,0
T0014218,C00001,2025-11-14 13:34:11.227951,19.56,USD,D0234,0,2025-11-14,13,4,0,3.0233474405869645,1,19.56,22,57.07409090909091,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,-0.0937186198665263,0,OTHER,ONLINE_SUBSCRIPTION,ONLINE,0,0,0,0
T0012998,C00001,2025-11-15 02:09:33.227951,52.45,USD,D0109,0,2025-11-15,2,5,1,3.9787466374710543,1,52.45,22,57.07409090909091,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.0110842544059842,0,CN,UTILITY_BILL,ONLINE,0,0,0,0
T0003396,C00001,2025-11-16 22:02:44.227951,0.77,USD,D0356,0,2025-11-16,22,6,1,0.5709795465857378,1,0.77,22,57.07409090909091,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.006456121790627,1,US,ELECTRONICS,MOBILE,0,0,0,0
T0011660,C00001,2025-11-28 04:18:40.227951,2.25,USD,D0168,0,2025-11-28,4,4,0,1.1786549963416462,1,2.25,22,57.07409090909091,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.0150163204680766,0,GB,UTILITY_BILL,POS,0,0,0,0
T0005219,C00001,2025-11-29 13:02:43.227951,9.58,USD,D0078,0,2025-11-29,13,5,1,2.3589654264301534,1,9.58,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,-0.071661436119026,0,US,GROCERIES,ONLINE,0,0,0,0
T0009229,C00002,2025-09-06 19:09:56.227951,75.07,USD,D0228,0,2025-09-06,19,5,1,4.33165396900921,1,75.07,31,26.608709677419355,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,-0.1051740869015355,0,US,GROCERIES,OTHER,0,0,0,0
T0002131,C00002,2025-09-07 15:24:48.227951,33.82,USD,D0014,0,2025-09-07,15,6,1,3.550191934340043,1,33.82,31,26.608709677419355,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,-0.0745907916045919,0,IN,GROCERIES,POS,0,0,0,0
T0013824,C00002,2025-09-26 23:04:10.227951,11.35,USD,D0166,0,2025-09-26,23,4,0,2.513656063073986,1,11.35,31,26.608709677419355,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-0.1055747891699045,0,US,TRAVEL,POS,0,0,0,0
T0001560,C00002,2025-09-30 23:03:24.227951,20.77,USD,D0281,0,2025-09-30,23,1,0,3.080532875246456,1,20.77,31,26.608709677419355,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,-0.1209775888335868,0,US,RESTAURANT,POS,0,0,0,0
T0003049,C00002,2025-10-01 12:56:34.227951,5.89,USD,D0225,0,2025-10-01,12,2,0,1.9300710850255671,2,24.89,31,26.608709677419355,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-0.0750354890983431,0,GB,GROCERIES,ONLINE,0,0,0,0
T0011226,C00002,2025-10-01 14:58:02.227951,19.0,USD,D0297,0,2025-10-01,14,2,0,2.995732273553991,2,24.89,31,26.608709677419355,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.0943532135198831,0,DE,RESTAURANT,OTHER,0,0,0,0
T0007851,C00002,2025-10-02 14:30:19.227951,2.72,USD,D0371,0,2025-10-02,14,3,0,1.3137236682850553,1,2.72,31,26.608709677419355,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-0.1011837389449457,0,OTHER,ELECTRONICS,POS,0,0,0,0
T0012217,C00002,2025-10-06 17:15:20.227951,20.23,USD,D0191,0,2025-10-06,17,0,0,3.055415275715165,1,20.23,31,26.608709677419355,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,-0.0800064486686889,0,CN,RESTAURANT,ONLINE,0,0,0,0
T0009033,C00002,2025-10-09 05:16:49.227951,11.08,USD,D0290,0,2025-10-09,5,3,0,2.4915511925066687,1,11.08,31,26.608709677419355,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,-0.119986082113638,0,US,CLOTHING,ONLINE,0,0,0,0
T0012841,C00002,2025-10-11 22:47:53.227951,9.72,USD,D0162,0,2025-10-11,22,5,1,2.372111155642656,1,9.72,31,26.608709677419355,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,-0.112787004714362,0,US,GROCERIES,OTHER,0,0,0,0
T0004883,C00002,2025-10-17 23:17:03.227951,7.78,USD,D0197,0,2025-10-17,23,4,0,2.172476407647025,1,7.78,31,26.608709677419355,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-0.0990786714953685,0,US,TRAVEL,POS,0,0,0,0
T0000409,C00002,2025-10-19 05:49:38.227951,118.77,USD,D0021,0,2025-10-19,5,6,1,4.785573236959415,1,118.77,31,26.608709677419355,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,-0.0508752077702531,0,US,CLOTHING,POS,0,0,0,0
T0003411,C00002,2025-10-21 20:31:15.227951,68.63,USD,D0233,0,2025-10-21,20,1,0,4.243195508954456,1,68.63,31,26.608709677419355,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,-0.0574431730647166,0,US,UTILITY_BILL,MOBILE,0,0,0,0
T0002956,C00002,2025-10-22 12:08:16.227951,11.24,USD,D0162,0,2025-10-22,12,2,0,2.50470927708418,1,11.24,31,26.608709677419355,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,-0.0916895555138234,0,OTHER,CLOTHING,MOBILE,0,0,0,0
T0009709,C00002,2025-10-28 00:23:07.227951,39.55,USD,D0001,0,2025-10-28,0,1,0,3.702535780561422,2,46.29,31,26.608709677419355,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,-0.098037488999998,0,US,RESTAURANT,ONLINE,0,0,0,0
T0009463,C00002,2025-10-28 18:41:07.227951,6.74,USD,D0280,0,2025-10-28,18,1,0,2.046401687601636,2,46.29,31,26.608709677419355,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,-0.1025154499495514,0,US,CLOTHING,OTHER,0,0,0,0
T0007460,C00002,2025-11-03 06:55:59.227951,52.04,USD,D0303,0,2025-11-03,6,0,0,3.971046345877607,1,52.04,31,26.608709677419355,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,-0.0689991079056646,0,GB,GROCERIES,POS,0,0,0,0
T0008695,C00002,2025-11-05 12:08:32.227951,25.74,USD,D0138,0,2025-11-05,12,2,0,3.286160571673797,1,25.74,31,26.608709677419355,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,-0.102510303047024,0,DE,RESTAURANT,POS,0,0,0,0
T0000317,C00002,2025-11-06 09:08:02.227951,9.69,USD,D0106,0,2025-11-06,9,3,0,2.3693087250369538,1,9.69,31,26.608709677419355,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.0953809432848246,0,DE,GROCERIES,OTHER,0,0,0,0
